AFE_REG_6D_Time,AFE_REG_6D_Value,ECG_Time,ECG_Value,ECG_RAW_Time,ECG_RAW_Value,TIA1-3_Time,TIA1-3_Value,TIA1-3_RAW_Time,TIA1-3_RAW_Value
0.1105,10.0,0.442,-0.01348285675048828,0.442,16753653.0,4.42,-0.4846973419189453,4.42,15930146.0,
0.111,10.0,0.444,-0.015566825866699219,0.444,16750011.0,4.44,-0.4807851791381836,4.44,15936983.0,
0.1115,10.0,0.446,-0.004997062683105469,0.446,16768483.0,4.46,-0.4767482757568359,4.46,15944038.0,
0.112,10.0,0.448,0.002633857727050781,0.448,4603.0,4.48,-0.4738237380981445,4.48,15949149.0,
0.1125,10.0,0.45,0.004035186767578125,0.45,7052.0,4.5,-0.47353134155273435,4.5,15949660.0,
0.113,10.0,0.452,-0.0014585494995117186,0.452,16774667.0,4.52,-0.47517929077148435,4.52,15946780.0,
0.1135,10.0,0.454,-0.0034818649291992188,0.454,16771131.0,4.54,-0.4765920639038086,4.54,15944311.0,
0.114,10.0,0.456,-0.006891059875488281,0.456,16765173.0,4.56,-0.47807865142822265,4.56,15941713.0,
0.1145,10.0,0.458,-0.012309837341308593,0.458,16755703.0,4.58,-0.4789466857910156,4.58,15940196.0,
0.115,10.0,0.46,-0.016652870178222656,0.46,16748113.0,4.6,-0.47901020050048826,4.6,15940085.0,
0.1155,10.0,0.462,-0.008933258056640624,0.462,16761604.0,4.62,-0.47851696014404294,4.62,15940947.0,
0.116,10.0,0.464,-0.0007410049438476562,0.464,16775921.0,4.64,-0.4770767211914062,4.64,15943464.0,
0.1165,10.0,0.466,0.0028615951538085937,0.466,5001.0,4.66,-0.47501106262207027,4.66,15947074.0,
